country_iso3,year,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct
CPV,2016,Cabo Verde,7881.3,,12.1
CPV,2017,Cabo Verde,8234.6,,12.2
CPV,2018,Cabo Verde,8531.1,,12.2
CPV,2019,Cabo Verde,9111.6,,12.1
CPV,2020,Cabo Verde,7207.9,,14.6
CPV,2021,Cabo Verde,7685.4,,13.9
CPV,2022,Cabo Verde,8850.1,,12.2
CPV,2023,Cabo Verde,9228.5,,11.9
CRI,2015,Costa Rica,21254.8,48.4,8.4
CRI,2016,Costa Rica,21925.6,48.7,8.1
CRI,2017,Costa Rica,22622.6,48.3,7.7
CRI,2018,Costa Rica,23005.3,48.0,9.0
CRI,2019,Costa Rica,23364.8,48.2,10.8
CRI,2020,Costa Rica,22211.9,49.2,16.4
CRI,2021,Costa Rica,23852.9,48.7,15.1
CRI,2022,Costa Rica,24831.7,47.2,11.3
CRI,2023,Costa Rica,25979.6,46.7,8.3
CSS,2015,Caribbean small states,25478.6,,8.2
CSS,2016,Caribbean small states,24416.1,,8.5
CSS,2017,Caribbean small states,23997.9,,8.2
CSS,2018,Caribbean small states,24087.8,,8.6
CSS,2019,Caribbean small states,24161.0,,8.2
CSS,2020,Caribbean small states,22301.8,,10.0
CSS,2021,Caribbean small states,23493.3,,9.7
CSS,2022,Caribbean small states,27046.7,,8.3
CSS,2023,Caribbean small states,29615.2,,7.5
CUB,2015,Cuba,,,2.4
CUB,2016,Cuba,,,2.0
CUB,2017,Cuba,,,1.7
CUB,2018,Cuba,,,1.7
CUB,2019,Cuba,,,1.7
CUB,2020,Cuba,,,2.2
CUB,2021,Cuba,,,2.1
CUB,2022,Cuba,,,1.8
CUB,2023,Cuba,,,1.7
CUW,2015,Curacao,30861.3,,
CUW,2016,Curacao,30209.8,,
CUW,2017,Curacao,29729.1,,
CUW,2018,Curacao,29256.8,,
CUW,2019,Curacao,28659.7,,
CUW,2020,Curacao,23669.8,,
CUW,2021,Curacao,24905.8,,
CUW,2022,Curacao,26734.6,,
CUW,2023,Curacao,27617.9,,
CYM,2015,Cayman Islands,73315.4,,
CYM,2016,Cayman Islands,73941.9,,
CYM,2017,Cayman Islands,74599.7,,
CYM,2018,Cayman Islands,76124.6,,
CYM,2019,Cayman Islands,77476.8,,
CYM,2020,Cayman Islands,72183.1,,
CYM,2021,Cayman Islands,74160.5,,
CYM,2022,Cayman Islands,76818.8,,
CYM,2023,Cayman Islands,79675.9,,
CYP,2015,Cyprus,37258.7,34.0,15.0
CYP,2016,Cyprus,39501.0,32.9,13.0
CYP,2017,Cyprus,41418.2,31.4,11.2
CYP,2018,Cyprus,43510.2,32.7,8.5
CYP,2019,Cyprus,45454.4,31.2,7.2
CYP,2020,Cyprus,43402.5,31.7,7.8
CYP,2021,Cyprus,47632.8,31.3,7.5
CYP,2022,Cyprus,50623.8,31.5,6.8
CYP,2023,Cyprus,51453.7,31.8,5.8
CZE,2015,Czechia,42066.6,25.9,5.0
CZE,2016,Czechia,43069.5,25.4,4.0
CZE,2017,Czechia,45177.5,24.9,2.9
CZE,2018,Czechia,46301.1,25.0,2.2
CZE,2019,Czechia,47763.6,25.3,2.0
CZE,2020,Czechia,45119.9,26.2,2.6
CZE,2021,Czechia,47796.0,26.2,2.8
CZE,2022,Czechia,48390.7,25.9,2.2
