country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Chile,2022,6.334,CHL,0.705,Chile,29569.4775527937,43.2,8.249,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2023,6.36,CHL,0.717,Chile,29563.6780243659,,9.013,1.3,80.6,18.4,7.0,41.0,7.7
China,2015,5.245,CHN,,China,14856.7807604461,38.6,4.65,,,,,,
China,2016,5.273,CHN,,China,15772.7647598696,38.5,4.56,,,,,,
China,2017,5.246,CHN,,China,16757.9736318662,39.1,4.47,,,,,,
China,2018,5.191,CHN,,China,17806.7902349725,38.5,4.31,,,,,,
China,2019,5.12389993667603,CHN,,China,18820.5131033646,38.2,4.56,,,,,,
China,2020,5.339,CHN,,China,19215.1541703465,37.1,5.0,,,,,,
China,2021,5.585,CHN,,China,20843.2978347377,35.7,4.55,,,,,,
China,2022,5.818,CHN,,China,21499.3822834427,36.0,4.98,,,,,,
China,2023,5.973,CHN,,China,22687.0758723942,,4.67,,,,,,
Colombia,2015,6.481,COL,0.624,Colombia,16821.3801400631,52.0,8.572,1.4,76.7,,,50.0,23.7
Colombia,2016,6.357,COL,0.625,Colombia,17003.244366485,51.7,8.922,1.4,76.7,,,50.0,23.7
Colombia,2017,6.26,COL,0.616,Colombia,16986.0334182842,50.9,9.086,1.4,76.7,,,50.0,23.7
Colombia,2018,6.125,COL,0.58,Colombia,17104.1313545678,51.6,9.36,1.4,76.7,,,50.0,23.7
Colombia,2019,6.16340017318726,COL,0.686,Colombia,17336.7716030551,52.5,10.28,1.4,76.7,,,50.0,23.7
Colombia,2020,6.012,COL,0.701,Colombia,15861.4999291295,54.4,15.983,1.4,76.7,,,50.0,23.7
Colombia,2021,5.781,COL,0.717,Colombia,17383.0901728295,55.1,13.898,1.4,76.7,,,50.0,23.7
Colombia,2022,5.63,COL,0.659,Colombia,18458.7209460704,54.8,10.541,1.4,76.7,,,50.0,23.7
Colombia,2023,5.695,COL,0.667,Colombia,18382.9976800475,54.6,9.591,1.4,76.7,,,50.0,23.7
Comoros,2015,3.956,COM,,Comoros,3302.38635129322,,4.031,,,,,,
Comoros,2018,3.973,COM,,Comoros,3457.58685798732,,3.975,,,,,,
Comoros,2019,4.28859996795654,COM,,Comoros,3451.42139338772,,3.926,,,,,,
Comoros,2020,4.289,COM,,Comoros,3377.74564051638,34.2,4.468,,,,,,
Comoros,2021,4.609,COM,,Comoros,3377.88518482587,,4.394,,,,,,
Comoros,2022,3.545,COM,,Comoros,3399.27830776976,,3.879,,,,,,
Comoros,2023,3.566,COM,,Comoros,3434.40177367723,,3.833,,,,,,
DR Congo,2015,4.272,COD,,"Congo, Dem. Rep.",1433.21579814709,,4.441,,,,,,
DR Congo,2016,4.28,COD,,"Congo, Dem. Rep.",1388.80163211633,,4.528,,,,,,
DR Congo,2017,4.245,COD,,"Congo, Dem. Rep.",1395.71961761712,,4.613,,,,,,
DR Congo,2018,4.418,COD,,"Congo, Dem. Rep.",1431.7285269693,,4.632,,,,,,
DR Congo,2019,4.31099987030029,COD,,"Congo, Dem. Rep.",1394.76461472893,,4.605,,,,,,
DR Congo,2022,3.207,COD,,"Congo, Dem. Rep.",1484.33841881449,,4.54,,,,,,
DR Congo,2023,3.295,COD,,"Congo, Dem. Rep.",1559.33806475859,,4.469,,,,,,
Congo,2015,4.236,COG,,"Congo, Rep.",8977.70681641417,,20.02,,,,,,
